date,cases,prec,tmin,tmax,rh,tmean,dewmean,sst
2014-01-05,148.0,59.391600000000004,15.613,24.43,84.43518846058569,19.170679999999997,16.474539999999998,20.6744
2014-01-12,529.0,71.2206,15.8745,23.7401,86.24319428250553,18.950585714285715,16.595428571428574,21.20807142857143
2014-01-19,554.0,62.8466,16.0232,24.1524,85.44572155886316,19.161542857142855,16.659242857142857,22.133928571428573
2014-01-26,800.0,55.2614,15.6403,25.1496,82.26546614837515,19.68181428571429,16.564642857142857,22.21992857142857
2014-02-02,631.0,69.0824,15.3336,24.1154,84.33018368314346,18.998157142857142,16.2907,20.983814285714285
2014-02-09,796.0,68.9194,15.2804,24.4394,83.70678879292562,18.860657142857143,16.037285714285712,20.256228571428572
2014-02-16,623.0,67.6788,15.8399,23.8756,84.6152102060405,18.980128571428573,16.328957142857142,19.930371428571426
2014-02-23,761.0,62.906400000000005,15.8031,24.881,83.78092091483393,19.443757142857145,16.624685714285715,20.01167142857143
2014-03-02,659.0,63.528,16.0678,25.2078,84.39786478097768,19.491371428571426,16.786771428571427,20.824914285714282
2014-03-09,660.0,75.68730000000001,15.7503,24.6208,85.38034379139627,19.087942857142856,16.5727,20.3131
2014-03-16,416.0,63.2784,15.7281,25.3596,85.0486569923492,19.2241,16.643271428571428,20.055342857142854
2014-03-23,279.0,74.1689,15.7983,24.2188,86.20940648043016,18.83835714285714,16.482014285714286,19.663171428571427
2014-03-30,431.0,47.2388,14.5283,25.0946,82.3442879900535,19.079428571428572,15.98322857142857,19.722257142857142
2014-04-06,414.0,48.7233,14.8614,24.5643,83.00119220929771,19.034514285714287,16.077742857142855,19.142657142857143
2014-04-13,472.0,40.250299999999996,15.0988,24.5803,82.73552609534876,19.176357142857142,16.167228571428574,18.99492857142857
2014-04-20,193.0,37.7893,14.7132,24.9296,82.0338996132836,18.915628571428574,15.779128571428572,19.486285714285714
2014-04-27,353.0,52.5717,14.775,24.2853,81.96125179287604,18.849728571428574,15.700014285714285,19.97964285714286
2014-05-04,134.0,42.3958,14.8499,25.0537,80.90908878097267,19.15972857142857,15.796157142857142,19.709985714285715
2014-05-11,268.0,41.9572,15.1067,25.2652,80.36932399741025,18.972814285714286,15.514085714285715,20.53427142857143
2014-05-18,272.0,47.1079,14.909,24.1346,80.61100203044622,18.827942857142858,15.420342857142856,20.7203
2014-05-25,321.0,39.7401,12.4754,24.4131,79.83664581193364,18.4834,14.93447142857143,21.0636
2014-06-01,212.0,16.205199999999998,13.9881,24.9898,72.58125707676318,18.666842857142857,13.639585714285715,21.22735714285714
2014-06-08,159.0,17.3836,14.5056,25.2242,70.69518010846865,19.359414285714283,13.895614285714286,21.055471428571426
2014-06-15,530.0,38.597300000000004,14.5139,24.731,74.98292113349807,18.819857142857142,14.287785714285715,20.628942857142857
2014-06-22,476.0,12.2791,13.0408,23.9189,73.56863416410195,18.154957142857143,13.3535,20.5318
2014-06-29,377.0,30.5302,13.8555,24.4864,75.1408492227109,18.487671428571428,14.000485714285714,19.781728571428573
2014-07-06,252.0,16.977,12.6327,23.881,73.3854448593701,17.9116,13.079642857142858,18.72644285714286
2014-07-13,349.0,25.814500000000002,12.5549,23.6238,72.90597809366527,17.6327,12.710542857142856,18.281985714285714
2014-07-20,394.0,26.1566,12.7557,24.3966,73.96948347897437,17.6053,12.88237142857143,18.356457142857145
2014-07-27,130.0,21.2724,12.0154,23.8038,73.85369058293772,17.220985714285714,12.512271428571427,18.174042857142858
2014-08-03,310.0,13.5797,12.2828,24.3841,71.04685674638267,17.785585714285713,12.457914285714285,17.429142857142857
2014-08-10,132.0,35.2985,13.331,24.5969,76.42542620170381,17.684114285714287,13.45867142857143,17.182885714285714
2014-08-17,190.0,20.8471,12.4102,24.3569,75.71133199649458,17.88058571428571,13.523371428571428,16.85727142857143
2014-08-24,377.0,5.6662,12.1445,25.1073,69.00337823898859,18.1918,12.402142857142858,17.308500000000002
2014-08-31,148.0,27.2565,13.4447,25.0309,73.94944953486281,18.041885714285716,13.310671428571428,17.157014285714286
2014-09-07,313.0,20.2281,13.3884,25.2611,75.33740217632013,18.45247142857143,13.993442857142856,16.435514285714284
2014-09-14,285.0,29.7151,13.4529,25.3147,76.10877664727175,18.753557142857144,14.430171428571429,16.51267142857143
2014-09-21,49.0,36.1102,14.16,24.5744,78.36098653049625,18.5573,14.714528571428572,16.9226
2014-09-28,358.0,32.8864,14.4566,25.4542,76.8874015208213,18.926657142857145,14.772985714285713,16.90097142857143
2014-10-05,274.0,26.9299,14.0536,24.9661,78.0412397154748,18.767814285714284,14.856228571428572,17.10242857142857
2014-10-12,403.0,56.375,15.0001,25.3684,81.12018641266762,18.918185714285716,15.606985714285715,17.190571428571428
2014-10-19,164.0,25.401699999999998,14.3014,26.4515,74.6838293953269,19.324028571428574,14.708428571428572,17.77777142857143
2014-10-26,248.0,44.5266,15.0878,25.9757,78.76777113766295,19.06367142857143,15.284457142857145,17.933542857142857
2014-11-02,435.0,40.9443,15.2036,25.5028,77.7037946798359,19.436514285714285,15.430814285714286,17.7993
2014-11-09,524.0,42.3655,15.1952,25.9632,76.25224788584391,19.702357142857142,15.397757142857143,18.277871428571427
2014-11-16,259.0,65.81190000000001,14.8779,25.0097,80.07478175809054,18.859471428571428,15.339942857142857,18.882828571428572
2014-11-23,475.0,35.6822,14.9884,26.046,75.37181819418434,19.452585714285714,14.9753,18.568157142857142
2014-11-30,259.0,55.5683,15.2865,25.0977,76.54477713538283,19.55594285714286,15.313142857142859,18.392385714285716
